,Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
IR-E-U-0356,Kalinga Institute of Industrial Technology,20,26.6,16.79,14.67,15.88,18.47,8,0.64,23.59,15,11.63,11.82,26.01,29.96,0.33,20,16.36
IR-E-U-0108,Jamia Millia Islamia,10.5,26.42,14.58,14.99,27.74,26.85,1.25,2.92,38.51,15,13.69,8.26,23.37,13.41,10.07,20,19.33
IR-E-U-0458,Kalasalingam Academy of Research and Education,16.48,30,18.58,13.62,15.35,17.92,5,0.53,36.27,15,11.07,9.22,19.04,30,7.09,20,10.42
IR-E-U-0496,Aligarh Muslim University,11,30,17.68,16.79,26.43,25.97,4.25,2.03,32.73,13.05,11.09,6.24,5.61,12.17,3.45,20,21.83
IR-E-U-0747,Chandigarh University,17.95,30,16.34,11.92,16.24,20.19,9,0.32,28.65,15,12.91,9.65,23.6,30,1.95,20,24.19
IR-E-U-0184,Indian Institute of Technology Mandi,9.79,26.28,17.75,21.07,18.9,18.29,2.5,2.41,36.32,13.5,21.37,7.85,23.07,19.08,8.36,20,19.9
IR-E-U-0497,Amity University,16.47,30,15.91,12.83,25.59,24.28,9,0.65,30.1,15,9.95,6.67,18.04,24.96,0.28,20,8.23
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),18.23,23.33,14.21,14.98,21.35,27.76,2,0.58,33.89,15,15.24,9.45,17.22,25.14,1.66,20,24.95
IR-E-U-0395,Indian Institute of Technology Jodhpur,12.53,30,18.39,26.13,17.32,17.75,1,4.17,35.43,15,18.27,3.56,19.62,20.45,6.17,20,13.5
IR-E-U-0098,Delhi Technological University,19,30,11.59,12.5,20.49,21.99,0.75,0.64,37.12,15,17.24,6.81,13.98,18.73,2.86,20,49
IR-E-U-0363,"Siksha ""O"" Anusandhan",17.5,30,16.96,17.62,17.37,19.18,5,0.89,31.46,15,9.88,9.91,22.23,30,1.4,20,30.12
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),17.47,30,17.63,9.75,20.77,20.39,6,0.36,28.63,15,12.06,9.72,15.28,29.67,1.36,20,18.17
IR-E-C-1297,Siddaganga Institute of Technology,12.42,30,14.78,9.49,6.31,8.09,0.5,0.41,33.23,14.95,12.36,1.23,6.06,28.02,5.73,20,10.06
IR-E-U-0105,Indraprastha Institute of Information Technology,11.7,15.88,11.03,15.69,14.81,13.44,0.25,3.16,33.03,15,19.67,4.01,11.68,12.41,0.25,20,17.57
IR-E-U-0064,Indian Institute of Technology Patna,12.02,20.67,13.68,20.84,22.18,21.15,2.25,3.83,33.92,14.27,20.74,8.8,18.31,9.61,5.08,20,25.69
IR-E-U-0172,National Institute of Technology Kurukshetra,14.63,12.63,7.85,14.78,15.72,18.72,2.5,0.82,30.43,15,15.55,4.88,13.94,11.45,7.24,20,20.74
IR-E-U-0099,Guru Gobind Singh Indraprastha University,11,22.28,12.62,11.92,14.77,13.94,0.5,0.97,29.39,15,13.89,4.25,8.73,22.23,1.18,20,15.43
IR-E-U-0373,Chitkara University,15.47,15.69,9.62,11.82,14.01,17.16,5,0.03,21.32,15,12.02,3.2,19.52,24.35,1.04,20,13.82
IR-E-C-19754,SR University,13.97,30,18.07,9.08,5.91,8.25,2.5,0.02,29.07,15,8.63,0.6,7.21,29.78,6.6,20,9.34
